,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
12146,PlantBugs,Hem_1469,Dicyphus errans,Hem_1469,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus errans,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4103,Dicyphus escalerae,Hem_4103,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus escalerae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1466,Dicyphus globulifer,Hem_1466,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus globulifer,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1471,Dicyphus pallicornis,Hem_1471,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus pallicornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4141,Dicyphus pallidus,Hem_4141,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus pallidus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1470,Dicyphus stachydis,Hem_1470,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus stachydis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4142,Dicyphus tamaninii,Hem_4142,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus tamaninii,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1491,Drymus brunneus,Hem_1491,INSECTS,TERR_INC,OTHER_INSECTS,Drymus brunneus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1488,Drymus latus,Hem_1488,INSECTS,TERR_INC,OTHER_INSECTS,Drymus latus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1489,Drymus pilicornis,Hem_1489,INSECTS,TERR_INC,OTHER_INSECTS,Drymus pilicornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1490,Drymus pilipes,Hem_1490,INSECTS,TERR_INC,OTHER_INSECTS,Drymus pilipes,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1492,Drymus pumilio,Hem_1492,INSECTS,TERR_INC,OTHER_INSECTS,Drymus pumilio,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1493,Drymus ryei,Hem_1493,INSECTS,TERR_INC,OTHER_INSECTS,Drymus ryei,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
