,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
121,ANDRENA semilaevis,ANDRENA semilaevis,Bees,TERRESTRIAL_INSECTS
122,ANDRENA similis,ANDRENA similis,Bees,TERRESTRIAL_INSECTS
123,ANDRENA subopaca,ANDRENA subopaca,Bees,TERRESTRIAL_INSECTS
124,ANDRENA synadelpha,ANDRENA synadelpha,Bees,TERRESTRIAL_INSECTS
125,ANDRENA tarsata,ANDRENA tarsata,Bees,TERRESTRIAL_INSECTS
126,ANDRENA thoracica,ANDRENA thoracica,Bees,TERRESTRIAL_INSECTS
127,ANDRENA tibialis,ANDRENA tibialis,Bees,TERRESTRIAL_INSECTS
128,ANDRENA trimmerana,ANDRENA trimmerana,Bees,TERRESTRIAL_INSECTS
129,ANDRENA varians,ANDRENA varians,Bees,TERRESTRIAL_INSECTS
130,ANDRENA wilkella,ANDRENA wilkella,Bees,TERRESTRIAL_INSECTS
131,ANTHIDIUM manicatum,ANTHIDIUM manicatum,Bees,TERRESTRIAL_INSECTS
132,ANTHOPHORA bimaculata,ANTHOPHORA bimaculata,Bees,TERRESTRIAL_INSECTS
133,ANTHOPHORA furcata,ANTHOPHORA furcata,Bees,TERRESTRIAL_INSECTS
134,ANTHOPHORA plumipes,ANTHOPHORA plumipes,Bees,TERRESTRIAL_INSECTS
135,ANTHOPHORA quadrimaculata,ANTHOPHORA quadrimaculata,Bees,TERRESTRIAL_INSECTS
136,APIS mellifera,APIS mellifera,Bees,TERRESTRIAL_INSECTS
137,BOMBUS barbutellus,BOMBUS barbutellus,Bees,TERRESTRIAL_INSECTS
138,BOMBUS bohemicus,BOMBUS bohemicus,Bees,TERRESTRIAL_INSECTS
139,BOMBUS campestris,BOMBUS campestris,Bees,TERRESTRIAL_INSECTS
140,BOMBUS distinguendus,BOMBUS distinguendus,Bees,TERRESTRIAL_INSECTS
141,BOMBUS hortorum,BOMBUS hortorum,Bees,TERRESTRIAL_INSECTS
142,BOMBUS humilis,BOMBUS humilis,Bees,TERRESTRIAL_INSECTS
143,BOMBUS hypnorum,BOMBUS hypnorum,Bees,TERRESTRIAL_INSECTS
144,BOMBUS jonellus,BOMBUS jonellus,Bees,TERRESTRIAL_INSECTS
145,BOMBUS lapidarius,BOMBUS lapidarius,Bees,TERRESTRIAL_INSECTS
146,BOMBUS magnus,BOMBUS magnus,Bees,TERRESTRIAL_INSECTS
147,BOMBUS muscorum,BOMBUS muscorum,Bees,TERRESTRIAL_INSECTS
148,BOMBUS pascuorum,BOMBUS pascuorum,Bees,TERRESTRIAL_INSECTS
149,BOMBUS pratorum,BOMBUS pratorum,Bees,TERRESTRIAL_INSECTS
150,BOMBUS ruderarius,BOMBUS ruderarius,Bees,TERRESTRIAL_INSECTS
151,BOMBUS ruderatus,BOMBUS ruderatus,Bees,TERRESTRIAL_INSECTS
152,BOMBUS rupestris,BOMBUS rupestris,Bees,TERRESTRIAL_INSECTS
153,BOMBUS soroeensis,BOMBUS soroeensis,Bees,TERRESTRIAL_INSECTS
154,BOMBUS sylvarum,BOMBUS sylvarum,Bees,TERRESTRIAL_INSECTS
155,BOMBUS sylvestris,BOMBUS sylvestris,Bees,TERRESTRIAL_INSECTS
156,BOMBUS terrestris,BOMBUS terrestris,Bees,TERRESTRIAL_INSECTS
157,BOMBUS vestalis,BOMBUS vestalis,Bees,TERRESTRIAL_INSECTS
158,CERATINA cyanea,CERATINA cyanea,Bees,TERRESTRIAL_INSECTS
159,CHELOSTOMA campanularum,CHELOSTOMA campanularum,Bees,TERRESTRIAL_INSECTS
160,CHELOSTOMA florisomne,CHELOSTOMA florisomne,Bees,TERRESTRIAL_INSECTS
161,COELIOXYS conoidea,COELIOXYS conoidea,Bees,TERRESTRIAL_INSECTS
162,COELIOXYS elongata,COELIOXYS elongata,Bees,TERRESTRIAL_INSECTS
163,COELIOXYS inermis,COELIOXYS inermis,Bees,TERRESTRIAL_INSECTS
164,COELIOXYS mandibularis,COELIOXYS mandibularis,Bees,TERRESTRIAL_INSECTS
165,COELIOXYS rufescens,COELIOXYS rufescens,Bees,TERRESTRIAL_INSECTS
166,COLLETES cunicularius,COLLETES cunicularius,Bees,TERRESTRIAL_INSECTS
167,COLLETES daviesanus,COLLETES daviesanus,Bees,TERRESTRIAL_INSECTS
168,COLLETES floralis,COLLETES floralis,Bees,TERRESTRIAL_INSECTS
169,COLLETES fodiens,COLLETES fodiens,Bees,TERRESTRIAL_INSECTS
170,COLLETES halophilus,COLLETES halophilus,Bees,TERRESTRIAL_INSECTS
171,COLLETES hederae,COLLETES hederae,Bees,TERRESTRIAL_INSECTS
172,COLLETES marginatus,COLLETES marginatus,Bees,TERRESTRIAL_INSECTS
173,COLLETES similis,COLLETES similis,Bees,TERRESTRIAL_INSECTS
174,COLLETES succinctus,COLLETES succinctus,Bees,TERRESTRIAL_INSECTS
175,DASYPODA hirtipes,DASYPODA hirtipes,Bees,TERRESTRIAL_INSECTS
176,EPEOLUS cruciger,EPEOLUS cruciger,Bees,TERRESTRIAL_INSECTS
177,EPEOLUS variegatus,EPEOLUS variegatus,Bees,TERRESTRIAL_INSECTS
178,EUCERA longicornis,EUCERA longicornis,Bees,TERRESTRIAL_INSECTS
179,HALICTUS confusus,HALICTUS confusus,Bees,TERRESTRIAL_INSECTS
180,HALICTUS rubicundus,HALICTUS rubicundus,Bees,TERRESTRIAL_INSECTS
181,HALICTUS tumulorum,HALICTUS tumulorum,Bees,TERRESTRIAL_INSECTS
182,HERIADES truncorum,HERIADES truncorum,Bees,TERRESTRIAL_INSECTS
183,HOPLITIS claviventris,HOPLITIS claviventris,Bees,TERRESTRIAL_INSECTS
184,HYLAEUS annularis,HYLAEUS annularis,Bees,TERRESTRIAL_INSECTS
185,HYLAEUS brevicornis,HYLAEUS brevicornis,Bees,TERRESTRIAL_INSECTS
186,HYLAEUS communis,HYLAEUS communis,Bees,TERRESTRIAL_INSECTS
187,HYLAEUS confusus,HYLAEUS confusus,Bees,TERRESTRIAL_INSECTS
188,HYLAEUS cornutus,HYLAEUS cornutus,Bees,TERRESTRIAL_INSECTS
189,HYLAEUS dilatatus,HYLAEUS dilatatus,Bees,TERRESTRIAL_INSECTS
190,HYLAEUS hyalinatus,HYLAEUS hyalinatus,Bees,TERRESTRIAL_INSECTS
191,HYLAEUS incongruus,HYLAEUS incongruus,Bees,TERRESTRIAL_INSECTS
192,HYLAEUS pectoralis,HYLAEUS pectoralis,Bees,TERRESTRIAL_INSECTS
193,HYLAEUS pictipes,HYLAEUS pictipes,Bees,TERRESTRIAL_INSECTS
194,HYLAEUS signatus,HYLAEUS signatus,Bees,TERRESTRIAL_INSECTS
195,LASIOGLOSSUM albipes,LASIOGLOSSUM albipes,Bees,TERRESTRIAL_INSECTS
196,LASIOGLOSSUM brevicorne,LASIOGLOSSUM brevicorne,Bees,TERRESTRIAL_INSECTS
197,LASIOGLOSSUM calceatum,LASIOGLOSSUM calceatum,Bees,TERRESTRIAL_INSECTS
198,LASIOGLOSSUM cupromicans,LASIOGLOSSUM cupromicans,Bees,TERRESTRIAL_INSECTS
199,LASIOGLOSSUM fratellum,LASIOGLOSSUM fratellum,Bees,TERRESTRIAL_INSECTS
200,LASIOGLOSSUM fulvicorne,LASIOGLOSSUM fulvicorne,Bees,TERRESTRIAL_INSECTS
201,LASIOGLOSSUM laevigatum,LASIOGLOSSUM laevigatum,Bees,TERRESTRIAL_INSECTS
202,LASIOGLOSSUM lativentre,LASIOGLOSSUM lativentre,Bees,TERRESTRIAL_INSECTS
203,LASIOGLOSSUM leucopus,LASIOGLOSSUM leucopus,Bees,TERRESTRIAL_INSECTS
204,LASIOGLOSSUM leucozonium,LASIOGLOSSUM leucozonium,Bees,TERRESTRIAL_INSECTS
205,LASIOGLOSSUM malachurum,LASIOGLOSSUM malachurum,Bees,TERRESTRIAL_INSECTS
206,LASIOGLOSSUM minutissimum,LASIOGLOSSUM minutissimum,Bees,TERRESTRIAL_INSECTS
207,LASIOGLOSSUM morio,LASIOGLOSSUM morio,Bees,TERRESTRIAL_INSECTS
208,LASIOGLOSSUM nitidiusculum,LASIOGLOSSUM nitidiusculum,Bees,TERRESTRIAL_INSECTS
209,LASIOGLOSSUM parvulum,LASIOGLOSSUM parvulum,Bees,TERRESTRIAL_INSECTS
210,LASIOGLOSSUM pauperatum,LASIOGLOSSUM pauperatum,Bees,TERRESTRIAL_INSECTS
211,LASIOGLOSSUM pauxillum,LASIOGLOSSUM pauxillum,Bees,TERRESTRIAL_INSECTS
212,LASIOGLOSSUM prasinum,LASIOGLOSSUM prasinum,Bees,TERRESTRIAL_INSECTS
213,LASIOGLOSSUM punctatissimum,LASIOGLOSSUM punctatissimum,Bees,TERRESTRIAL_INSECTS
214,LASIOGLOSSUM puncticolle,LASIOGLOSSUM puncticolle,Bees,TERRESTRIAL_INSECTS
215,LASIOGLOSSUM quadrinotatum,LASIOGLOSSUM quadrinotatum,Bees,TERRESTRIAL_INSECTS
216,LASIOGLOSSUM rufitarse,LASIOGLOSSUM rufitarse,Bees,TERRESTRIAL_INSECTS
217,LASIOGLOSSUM semilucens,LASIOGLOSSUM semilucens,Bees,TERRESTRIAL_INSECTS
218,LASIOGLOSSUM smeathmanellum,LASIOGLOSSUM smeathmanellum,Bees,TERRESTRIAL_INSECTS
219,LASIOGLOSSUM villosulum,LASIOGLOSSUM villosulum,Bees,TERRESTRIAL_INSECTS
220,LASIOGLOSSUM xanthopus,LASIOGLOSSUM xanthopus,Bees,TERRESTRIAL_INSECTS
221,LASIOGLOSSUM zonulum,LASIOGLOSSUM zonulum,Bees,TERRESTRIAL_INSECTS
222,MACROPIS europaea,MACROPIS europaea,Bees,TERRESTRIAL_INSECTS
223,MEGACHILE centuncularis,MEGACHILE centuncularis,Bees,TERRESTRIAL_INSECTS
224,MEGACHILE circumcincta,MEGACHILE circumcincta,Bees,TERRESTRIAL_INSECTS
225,MEGACHILE leachella,MEGACHILE leachella,Bees,TERRESTRIAL_INSECTS
226,MEGACHILE ligniseca,MEGACHILE ligniseca,Bees,TERRESTRIAL_INSECTS
227,MEGACHILE maritima,MEGACHILE maritima,Bees,TERRESTRIAL_INSECTS
228,MEGACHILE versicolor,MEGACHILE versicolor,Bees,TERRESTRIAL_INSECTS
229,MEGACHILE willughbiella,MEGACHILE willughbiella,Bees,TERRESTRIAL_INSECTS
230,MELECTA albifrons,MELECTA albifrons,Bees,TERRESTRIAL_INSECTS
231,MELITTA haemorrhoidalis,MELITTA haemorrhoidalis,Bees,TERRESTRIAL_INSECTS
232,MELITTA leporina,MELITTA leporina,Bees,TERRESTRIAL_INSECTS
233,MELITTA tricincta,MELITTA tricincta,Bees,TERRESTRIAL_INSECTS
234,NOMADA armata,NOMADA armata,Bees,TERRESTRIAL_INSECTS
235,NOMADA baccata,NOMADA baccata,Bees,TERRESTRIAL_INSECTS
236,NOMADA fabriciana,NOMADA fabriciana,Bees,TERRESTRIAL_INSECTS
237,NOMADA ferruginata,NOMADA ferruginata,Bees,TERRESTRIAL_INSECTS
